50 196
0 18 57
18 0 57
0 23 28
23 0 28
0 35 94
35 0 94
1 19 28
19 1 28
1 29 57
29 1 57
1 45 38
45 1 38
1 5 48
5 1 48
2 42 96
42 2 96
2 43 53
43 2 53
2 49 76
49 2 76
2 9 23
9 2 23
3 7 36
7 3 36
5 6 74
6 5 74
10 16 32
16 10 32
10 22 40
22 10 40
10 27 29
27 10 29
10 40 17
40 10 17
10 44 57
44 10 57
10 46 81
46 10 81
10 49 61
49 10 61
11 3 78
3 11 78
11 36 58
36 11 58
11 48 46
48 11 46
11 7 89
7 11 89
12 28 23
28 12 23
12 31 98
31 12 98
12 34 10
34 12 10
12 38 79
38 12 79
13 18 89
18 13 89
13 21 21
21 13 21
13 23 34
23 13 34
13 41 20
41 13 20
14 42 80
42 14 80
14 43 15
43 14 15
14 8 48
8 14 48
15 24 41
24 15 41
15 25 39
25 15 39
15 3 24
3 15 24
16 35 64
35 16 64
16 37 14
37 16 14
16 44 75
44 16 75
16 46 49
46 16 49
17 20 87
20 17 87
17 45 27
45 17 27
17 5 42
5 17 42
17 6 54
6 17 54
18 21 70
21 18 70
18 23 70
23 18 70
18 34 55
34 18 55
18 41 41
41 18 41
19 45 37
45 19 37
19 5 63
5 19 63
20 29 91
29 20 91
20 39 93
39 20 93
20 45 41
45 20 41
21 41 85
41 21 85
22 26 19
26 22 19
22 27 25
27 22 25
22 33 57
33 22 57
22 48 69
48 22 69
23 31 32
31 23 32
24 25 43
25 24 43
24 3 48
3 24 48
24 30 63
30 24 63
24 43 19
43 24 19
25 30 14
30 25 14
26 27 89
27 26 89
26 33 24
33 26 24
26 47 54
47 26 54
26 48 33
48 26 33
27 49 76
49 27 76
27 9 67
9 27 67
28 31 38
31 28 38
28 34 23
34 28 23
28 4 69
4 28 69
29 37 69
37 29 69
30 42 76
42 30 76
30 43 53
43 30 53
31 34 25
34 31 25
31 4 58
4 31 58
32 33 50
33 32 50
32 39 64
39 32 64
32 47 82
47 32 82
33 47 48
47 33 48
34 38 59
38 34 59
35 37 87
37 35 87
35 4 45
4 35 45
36 7 45
7 36 45
37 46 11
46 37 11
38 8 79
8 38 79
39 40 83
40 39 83
40 46 93
46 40 93
41 42 71
42 41 71
42 43 46
43 42 46
44 46 48
46 44 48
44 49 18
49 44 18
45 5 61
5 45 61
49 9 92
9 49 92
